"id","userId","snapshotAreaId","uploadDate","theme","notes","photos","createdAt"
"cmonmw9l70003l2042oiwmtfp","cmn2ut490000djy043kfw99u4","cmmu5b29t0000jp04i02m5ac6","2026-05-02 00:00:00","Pencegahan kaper putih di fase vegetatif","","[""https://res.cloudinary.com/djfhtirfk/image/upload/c_limit,w_1280,h_1280,q_78,f_auto/v1777683527/gamagronomist/tc8puesiznqlolipzeya.jpg""]","2026-05-02 00:59:25.188"
"cmoqslpye0001i90448uw78ex","cmn2ut48j0007jy040a1gsnei","cmmu5b6vr0001jp04nn83ngz5","2026-05-04 00:00:00","Atasi penyakit cabai dengan nefos dan belko","","[""https://res.cloudinary.com/djfhtirfk/image/upload/c_limit,w_1280,h_1280,q_78,f_auto/v1777874545/gamagronomist/iew3kkuxut0po6mgne7c.jpg""]","2026-05-04 06:02:29.41"
"cmor1flyh0001lb04nwpsyidh","cmnptxdfx0003ih04aeoz98ii","cmmu5bdk90003jp04wwmqip3w","2026-05-04 00:00:00","Langkah Preventif Serangan Sundep dan Asam-Asaman","","[""https://res.cloudinary.com/djfhtirfk/image/upload/c_limit,w_1280,h_1280,q_78,f_auto/v1777889375/gamagronomist/gquo8odvfkgxuu8nwhcm.png""]","2026-05-04 10:09:40.841"
"cmor6vfr70001lb04js110ox7","cmn2ut48v000bjy04dn3fav4n","cmmu5baag0002jp04tu1z121e","2026-05-04 00:00:00","Testimoni Pak Suwarno Tentang Allmax","","[""https://res.cloudinary.com/djfhtirfk/image/upload/c_limit,w_1280,h_1280,q_78,f_auto/v1777898408/gamagronomist/luw76aco0zh6lovpchlv.jpg""]","2026-05-04 12:41:57.379"
"cmor6wq0v0001l804h3rtlz7h","cmn2ut48v000bjy04dn3fav4n","cmmu5baag0002jp04tu1z121e","2026-05-04 00:00:00","Mau Padi Bebas Sundep?","","[""https://res.cloudinary.com/djfhtirfk/image/upload/c_limit,w_1280,h_1280,q_78,f_auto/v1777898566/gamagronomist/imca6iairqa0ldwb20qa.jpg""]","2026-05-04 12:42:57.343"
"cmor6xdba0001l204p350b5wy","cmn2ut48v000bjy04dn3fav4n","cmmu5baag0002jp04tu1z121e","2026-05-04 00:00:00","Kaper Putih Mulai Menyerang?","","[""https://res.cloudinary.com/djfhtirfk/image/upload/c_limit,w_1280,h_1280,q_78,f_auto/v1777898602/gamagronomist/pfmx18j3dhqkiksmc1hl.jpg""]","2026-05-04 12:43:27.522"
"cmor6y0p50001jw041iedmk6e","cmn2ut48v000bjy04dn3fav4n","cmmu5baag0002jp04tu1z121e","2026-05-04 00:00:00","Terbukti Ampuh Kendalikan Kaper Putih!","","[""https://res.cloudinary.com/djfhtirfk/image/upload/c_limit,w_1280,h_1280,q_78,f_auto/v1777898634/gamagronomist/yjxx2o4tk6dpvziptg2y.jpg""]","2026-05-04 12:43:57.834"
"cmor6yrsw0004l804u1wk1oej","cmn2ut48v000bjy04dn3fav4n","cmmu5baag0002jp04tu1z121e","2026-05-04 00:00:00","Cegah Lebih Awal Sebelum Sundep Menyerang!","","[""https://res.cloudinary.com/djfhtirfk/image/upload/c_limit,w_1280,h_1280,q_78,f_auto/v1777898668/gamagronomist/dw2z8skb4c2bwr2zuwsi.jpg""]","2026-05-04 12:44:32.958"
"cmor71fod0004l204bcmo8y2v","cmn2ut48v000bjy04dn3fav4n","cmmu5baag0002jp04tu1z121e","2026-04-27 00:00:00","Testimoni Pak Sentot Tentang Biogent","","[""https://res.cloudinary.com/djfhtirfk/image/upload/c_limit,w_1280,h_1280,q_78,f_auto/v1777898794/gamagronomist/z0kqa5sgnnowfagu1ztg.jpg""]","2026-05-04 12:46:37.211"
"cmor72mza0001k004aiyhs3u1","cmn2ut48v000bjy04dn3fav4n","cmmu5baag0002jp04tu1z121e","2026-04-29 00:00:00","Testimoni Pak Aziz Tentang Biogent","","[""https://res.cloudinary.com/djfhtirfk/image/upload/c_limit,w_1280,h_1280,q_78,f_auto/v1777898847/gamagronomist/lxy5gjcfva1e6yv04q6n.jpg""]","2026-05-04 12:47:33.335"
"cmor73gwo0004lb04iu1nxi5n","cmn2ut48v000bjy04dn3fav4n","cmmu5baag0002jp04tu1z121e","2026-04-29 00:00:00","Testimoni Pak Arjoswardi Tentang Biogent","","[""https://res.cloudinary.com/djfhtirfk/image/upload/c_limit,w_1280,h_1280,q_78,f_auto/v1777898888/gamagronomist/ymhv89pzy43uyda7tlkt.jpg""]","2026-05-04 12:48:12.094"
"cmor76ojh0004k00459cc43h4","cmn2ut48v000bjy04dn3fav4n","cmmu5baag0002jp04tu1z121e","2026-04-29 00:00:00","Testimoni Pak Khotim Tentang Biogent","","[""https://res.cloudinary.com/djfhtirfk/image/upload/c_limit,w_1280,h_1280,q_78,f_auto/v1777899038/gamagronomist/pogwxqycbyrv08p7lpgm.jpg""]","2026-05-04 12:50:41.979"
