"id","contentVideoId","productId"
"cmonmw9l70004l204yov79gkm","cmonmw9l70003l2042oiwmtfp","cmnh57v7z0021ii04v1ygmw8m"
"cmoqslpyg0003i904hoxxcdpp","cmoqslpye0001i90448uw78ex","cmn6uxos20072l40488ybmoku"
"cmoqslpyf0002i90441g91c2b","cmoqslpye0001i90448uw78ex","cmn6uxohw004el404yr648ktq"
"cmor1flyh0004lb04rhxucpr1","cmor1flyh0001lb04nwpsyidh","cmn6uxos50073l404ktl7vy5f"
"cmor1flyh0003lb04n5sqp3or","cmor1flyh0001lb04nwpsyidh","cmnh57v7z0021ii04v1ygmw8m"
"cmor1flyh0002lb048l0jyp1h","cmor1flyh0001lb04nwpsyidh","cmnh57xam009uii04kms3op12"
"cmor6vfr70002lb049of2xszg","cmor6vfr70001lb04js110ox7","cmn6uxoqc006nl404t2zlp86z"
"cmor6wq0v0002l8048u2zc1w9","cmor6wq0v0001l804h3rtlz7h","cmnh57v7z0021ii04v1ygmw8m"
"cmor6xdbc0002l2047bbw6d0s","cmor6xdba0001l204p350b5wy","cmnh57v7z0021ii04v1ygmw8m"
"cmor6y0p50002jw047hwf555f","cmor6y0p50001jw041iedmk6e","cmnh57v7z0021ii04v1ygmw8m"
"cmor6yrsx0005l8041zzi39vz","cmor6yrsw0004l804u1wk1oej","cmnh57v7z0021ii04v1ygmw8m"
"cmor71fod0005l204sr4vmk5a","cmor71fod0004l204bcmo8y2v","cmnh57v7z0021ii04v1ygmw8m"
"cmor72mza0002k004qrvmv9bq","cmor72mza0001k004aiyhs3u1","cmnh57v7z0021ii04v1ygmw8m"
"cmor73gwo0005lb04vupynewj","cmor73gwo0004lb04iu1nxi5n","cmnh57v7z0021ii04v1ygmw8m"
"cmor76ojh0005k004o1q1otca","cmor76ojh0004k00459cc43h4","cmnh57v7z0021ii04v1ygmw8m"
"cmor77k360005jw04titumjxo","cmor77k360004jw04hh63xgqo","cmnh57v7z0021ii04v1ygmw8m"
"cmosc517z0004l904wydp42w1","cmosc517z0001l904n4fl9m3n","cmn6uxoqc006nl404t2zlp86z"
"cmosc517z0003l904jxkv4xj3","cmosc517z0001l904n4fl9m3n","cmnh57xam009uii04kms3op12"
"cmosc517z0002l904e8rsjoi6","cmosc517z0001l904n4fl9m3n","cmnh57v7z0021ii04v1ygmw8m"
"cmoscpmh70005jr04jwu8a8a9","cmoscpmh70001jr04ogf2rtu4","cmn6uxoqc006nl404t2zlp86z"
"cmoscpmh70004jr04l1sznyqr","cmoscpmh70001jr04ogf2rtu4","cmn6uxos50073l404ktl7vy5f"
"cmoscpmh70003jr04bxa7sy70","cmoscpmh70001jr04ogf2rtu4","cmnh57v7z0021ii04v1ygmw8m"
"cmoscpmh70002jr04w3b023od","cmoscpmh70001jr04ogf2rtu4","cmnh57xam009uii04kms3op12"
"cmosgwd4p0002kw04y8pqndq7","cmosgwd4p0001kw04v24b7pqn","cmnh57was006tii04hxq52eez"
"cmosj9dfq0004ky04t8ulq562","cmosj9dfp0001ky04qt3xxiq6","cmnh57xae009sii04n7ume162"
"cmosj9dfp0003ky04zi6rvpyi","cmosj9dfp0001ky04qt3xxiq6","cmn6uxos50073l404ktl7vy5f"
"cmosj9dfp0002ky04genjrid2","cmosj9dfp0001ky04qt3xxiq6","cmnh57v7z0021ii04v1ygmw8m"
"cmotd7p7t0003jq042fx6d3co","cmotd7p7s0001jq04nn7otxx2","cmn6uxos50073l404ktl7vy5f"
"cmotd7p7t0002jq04w42yo60n","cmotd7p7s0001jq04nn7otxx2","cmnh57v7z0021ii04v1ygmw8m"
"cmow8jdz80002jo0422m40mlw","cmow8jdz70001jo040nr2ztoz","cmouxnmt00003jm04hmq6cp0t"
"cmowcue650004ld04f8em7qq3","cmowcue640001ld04xqbpnn47","cmnh57xam009uii04kms3op12"
"cmowcue650003ld04z2coo0uc","cmowcue640001ld04xqbpnn47","cmn6uxos50073l404ktl7vy5f"
"cmowcue640002ld04npdz4io8","cmowcue640001ld04xqbpnn47","cmnh57v7z0021ii04v1ygmw8m"
"cmowu1kg00002k00496ckz80u","cmowu1kfy0001k0041k2k7sof","cmnh57vat002iii04tmhled2o"
"cmoxlrxq90002jl04diuyd8n9","cmoxlrxq70001jl04jmelit57","cmouxmh0o0012ih041x1r8euo"
"cmoy3a2w60003k104xp83yo1k","cmoy3a2w60001k104qq2zrjga","cmn6uxoqc006nl404t2zlp86z"
"cmoy3a2w60002k104vs5lz0a4","cmoy3a2w60001k104qq2zrjga","cmnh57vtq004iii047vhl4tfv"
"cmozprh270004l504qffwxsvd","cmozprh260001l504m3cai41v","cmn6uxos50073l404ktl7vy5f"
"cmozprh270003l504rgtsmmq8","cmozprh260001l504m3cai41v","cmn6uxoqc006nl404t2zlp86z"
"cmozprh270002l504uxnpcdc7","cmozprh260001l504m3cai41v","cmnh57v8d0023ii043k1ttzni"
"cmozwfydo0003jp04au5kuu1t","cmozwfydm0001jp04barq2xdd","cmn6uxos50073l404ktl7vy5f"
"cmozwfydo0002jp04iexe20fd","cmozwfydm0001jp04barq2xdd","cmnh57vtq004iii047vhl4tfv"
"cmp21eyjy0007l704vcha7w37","cmp21eyjx0005l7044u6fje8x","cmn6uxos50073l404ktl7vy5f"
"cmp21eyjy0006l704soz5y568","cmp21eyjx0005l7044u6fje8x","cmnh57v7z0021ii04v1ygmw8m"
"cmp27d76j0002jx04nnnwaxbv","cmp27d76j0001jx04ezx3c97f","cmn6uxos50073l404ktl7vy5f"
"cmp27fl7n0002l60476otoyap","cmp27fl7n0001l604kpwtal08","cmnh57v7z0021ii04v1ygmw8m"
"cmp2b97h60002lb04n186hoo5","cmp2b97h50001lb04dcfkcjrh","cmnh57v7z0021ii04v1ygmw8m"
"cmp3ksdhr0003l704gi6mhwg8","cmp3ksdhr0001l7046o7gl8yn","cmouxmuqq0000jm04or8tp0qt"
"cmp3ksdhr0002l7049guuwbjl","cmp3ksdhr0001l7046o7gl8yn","cmnh57xam009uii04kms3op12"
"cmp3rmil9000ajs04d7gz4g5u","cmp3rmil90009js04qba2biv0","cmnh57vfx0030ii04pq8nnbid"
"cmp3s8j27000bl904nhet0u44","cmp3s8j270009l904pff5hqns","cmn6uxoqc006nl404t2zlp86z"
"cmp3s8j27000al904t0vvwmqt","cmp3s8j270009l904pff5hqns","cmnh57vtq004iii047vhl4tfv"
"cmp6edrv00002ju04rwcw15ph","cmp6edrv00001ju047z4jjcmr","cmnh57vtq004iii047vhl4tfv"
"cmp6j2up70002i504lwahilf0","cmp6j2up50001i504b5th2lr6","cmn6uxo6c001ll404cud1fces"
"cmp6vizg90002l404vkp1vg2o","cmp6vizg80001l404u149mxoq","cmnh57v7z0021ii04v1ygmw8m"
"cmp6vkbg30002k004q9argrsy","cmp6vkbg20001k004owudceky","cmnh57v7z0021ii04v1ygmw8m"
"cmp6vl11r0002jo041vsl45qj","cmp6vl11p0001jo0456zx2nns","cmnh57v7z0021ii04v1ygmw8m"
"cmp6vlv1v0005k00417a7ytyf","cmp6vlv1v0004k004nvzreyep","cmnh57v7z0021ii04v1ygmw8m"
"cmp6vmkyl0005jo04urvq4bqx","cmp6vmkyl0004jo04i1jkgaug","cmnh57v7z0021ii04v1ygmw8m"
"cmp6vnbkq0008jo04riyuzdjw","cmp6vnbkq0007jo04kx73p4xu","cmnh57v7z0021ii04v1ygmw8m"
"cmp6vnwo00008k004cx09sdls","cmp6vnwo00007k004q8if3hgw","cmnh57v7z0021ii04v1ygmw8m"
"cmp6w1iuy0003ju04bz700m1d","cmp6w1iuy0001ju04vq37ezgx","cmn6uxoqc006nl404t2zlp86z"
"cmp6w1iuy0002ju04mejmv3dm","cmp6w1iuy0001ju04vq37ezgx","cmnh57wmq007oii04r02hg3xm"
"cmp6w2dbm0003il04gkgn1fb2","cmp6w2dbm0001il044fnnze03","cmn6uxoqc006nl404t2zlp86z"
"cmp6w2dbm0002il04eosvqp22","cmp6w2dbm0001il044fnnze03","cmnh57wmq007oii04r02hg3xm"
"cmp6w3j8z0006l404s96a5w90","cmp6w3j8z0004l404a8yp19hp","cmn6uxoqc006nl404t2zlp86z"
"cmp6w3j8z0005l404eyb1qndr","cmp6w3j8z0004l404a8yp19hp","cmn6uxowg0088l40447uwraw0"
