"id","requestId","farmerId","date","area","commodity","landSize","resultNotes","photos","latitude","longitude","isFinalSession","createdAt","updatedAt","landSizeUnit","snapshotAreaId","cropAgeDays"
"cmofmcik80003lb04tayroaah","cmofmcii40001lb04c8n3wx8i","cmofiplex0013l204y5lcw5o6","2026-02-20 00:00:00","TGH4","Tropong, kentang",11,"yPLOLe0",,-7.2476283,109.131898,"t","2026-04-26 10:21:54.296","2026-04-26 10:21:54.296",,"cmmu5bdk90003jp04wwmqip3w",
"cmofmcikn0007lb0486esfj4b","cmofmcikj0005lb04beo670r1","cmofiplj1002ll204ajujewwi","2026-02-21 00:00:00","TGH3","Padi",,"lbJb8zV",,-7.5969283,109.27059,"t","2026-04-26 10:21:54.311","2026-04-26 10:21:54.311",,"cmmu5baag0002jp04tu1z121e",
"cmofmciku000blb04y13pp7nk","cmofmcikq0009lb04fe6n7vns","cmofiq21h02wml204insn62fi","2026-02-21 00:00:00","TGH2","Jagung",,"D4g4QDl",,-6.7487033,111.6024083,"t","2026-04-26 10:21:54.318","2026-04-26 10:21:54.318",,"cmmu5b6vr0001jp04nn83ngz5",
"cmofmcil1000flb049gbin5so","cmofmcikx000dlb04wbcrm2bv","cmofipljx002yl204axzktlla","2026-02-21 00:00:00","TGH2","Padi",,"9qbNDXY",,-7.7199825,110.6702443,"t","2026-04-26 10:21:54.326","2026-04-26 10:21:54.326",,"cmmu5b6vr0001jp04nn83ngz5",
"cmofmcil8000jlb046st1bufi","cmofmcil5000hlb04bogj0wce","cmofiplkv0036l2047qb1ucc3","2026-02-21 00:00:00","TGH2","Cabai",,"2EQXrJL",,-6.7527383,111.607495,"t","2026-04-26 10:21:54.332","2026-04-26 10:21:54.332",,"cmmu5b6vr0001jp04nn83ngz5",
"cmofmcilf000nlb0436b29m6k","cmofmcilc000llb04xn3dnw7d","cmofipllk003fl204fy49wh0r","2026-02-22 00:00:00","TGH2","Cabai",,"D4gppeR",,-6.7462517,111.6009283,"t","2026-04-26 10:21:54.34","2026-04-26 10:21:54.34",,"cmmu5b6vr0001jp04nn83ngz5",
"cmofmcilm000rlb04eikufhzd","cmofmcilj000plb04mdogkft9","cmofiplkv0036l2047qb1ucc3","2026-02-22 00:00:00","TGH2","Cabai",,"RGEooQK",,-6.7463768,111.6009634,"t","2026-04-26 10:21:54.346","2026-04-26 10:21:54.346",,"cmmu5b6vr0001jp04nn83ngz5",
"cmofmcils000vlb04f3a3s11v","cmofmcilp000tlb04qbtwdgn4","cmofiplkn0033l204mm8d35sd","2026-02-22 00:00:00","TGH2","Cabai",,"Gx8pl0Q",,-6.7479767,111.6032183,"t","2026-04-26 10:21:54.352","2026-04-26 10:21:54.352",,"cmmu5b6vr0001jp04nn83ngz5",
"cmofmcily000zlb046bavcn9n","cmofmcilv000xlb04filcggtt","cmofiq21h02wml204insn62fi","2026-02-22 00:00:00","TGH2","Jagung",,"2EQAx2A",,-6.748695,111.6024483,"t","2026-04-26 10:21:54.358","2026-04-26 10:21:54.358",,"cmmu5b6vr0001jp04nn83ngz5",
"cmofmcim40013lb046wh8lh3i","cmofmcim10011lb048ue3umv5","cmofiplgl001ol204u0lc2h0v","2026-02-23 00:00:00","TGH2","Padi",,"817KYax",,-7.7551412,110.6542607,"t","2026-04-26 10:21:54.364","2026-04-26 10:21:54.364",,"cmmu5b6vr0001jp04nn83ngz5",
