"id","demoPlotId","productId","actualUsage","usedFarmerProduct"
"cmofmcjv9007dlb04e9yv47wh","cmofmcjv5007blb04fyby9uji","cmnh57w4j005rii040m19c7xn",1,"f"
"cmofo8wih0006kw04cni5d99w","cmofo8wib0004kw04iiwhwfkj","cmn6uxoho004cl404shdz6ehi",1,"f"
"cmofo8wip0008kw04l82fytly","cmofo8wib0004kw04iiwhwfkj","cmn6uxos20072l40488ybmoku",1,"f"
"cmofo8wiu000akw04f95gw25m","cmofo8wib0004kw04iiwhwfkj","cmn6uxolu005hl404jxgk0691",1,"f"
"cmofo8wj4000gkw04ikzntxm0","cmofo8wj1000ekw045k6csj80","cmn6uxom9005ll4044rvna997",1,"f"
"cmofo8wj7000ikw046qqlwh7c","cmofo8wj1000ekw045k6csj80","cmn6uxos50073l404ktl7vy5f",1,"f"
"cmofo8wja000kkw04ndhtwd5x","cmofo8wj1000ekw045k6csj80","cmnh57xae009sii04n7ume162",1,"f"
"cmofo8wjl000rkw04u27fsqre","cmofo8wji000pkw04tlkqnm12","cmn6uxom9005ll4044rvna997",1,"f"
"cmofo8wjo000tkw045y7q6cfi","cmofo8wji000pkw04tlkqnm12","cmn6uxo68001kl40463yw45cf",1,"f"
"cmofo8wjq000vkw04c70ggjae","cmofo8wji000pkw04tlkqnm12","cmn6uxos50073l404ktl7vy5f",1,"f"
"cmofo8wjy0011kw0497vb2tdm","cmofo8wjw000zkw04x432hprv","cmn6uxom9005ll4044rvna997",1,"f"
"cmofo8wk10013kw04cqtiqn81","cmofo8wjw000zkw04x432hprv","cmn6uxos50073l404ktl7vy5f",1,"f"
"cmofo8wkd001akw04nfoflo9x","cmofo8wka0018kw042wy6qld0","cmnh57xae009sii04n7ume162",1,"f"
"cmofo8wkf001ckw04dgs7hd60","cmofo8wka0018kw042wy6qld0","cmn6uxom9005ll4044rvna997",1,"f"
"cmofo8wki001ekw04t18tlwsb","cmofo8wka0018kw042wy6qld0","cmn6uxos50073l404ktl7vy5f",1,"f"
"cmofo8wkr001kkw04itsxxxgc","cmofo8wkn001ikw043rbsphco","cmn6uxojs004xl404eoinwe8z",1,"f"
"cmofo8wl0001qkw040n242xmi","cmofo8wkx001okw049sonaiu4","cmn6uxom9005ll4044rvna997",1,"f"
"cmofo8wl3001skw04ulkl3u3j","cmofo8wkx001okw049sonaiu4","cmn6uxos50073l404ktl7vy5f",1,"f"
"cmofo8wld001zkw04h2xm78c7","cmofo8wla001xkw04finx8jdv","cmn6uxojs004xl404eoinwe8z",1,"f"
"cmofo8wln0025kw04j8qfbxbd","cmofo8wlk0023kw048zg2y520","cmnh57xae009sii04n7ume162",1,"f"
"cmofo8wlp0027kw0419o3siw0","cmofo8wlk0023kw048zg2y520","cmn6uxom9005ll4044rvna997",1,"f"
"cmofo8wlr0029kw04ux87o1ql","cmofo8wlk0023kw048zg2y520","cmn6uxos50073l404ktl7vy5f",1,"f"
"cmofo8wm1002gkw04zprgfu1z","cmofo8wly002ekw04gq4uj9uo","cmn6uxom9005ll4044rvna997",1,"f"
"cmofo8wm3002ikw04g0f1u6rw","cmofo8wly002ekw04gq4uj9uo","cmn6uxos50073l404ktl7vy5f",1,"f"
"cmofo8wmb002okw04w2edgf8j","cmofo8wm9002mkw047h05yuhd","cmn6uxom9005ll4044rvna997",1,"f"
"cmofo8wme002qkw04dsu2526x","cmofo8wm9002mkw047h05yuhd","cmn6uxos50073l404ktl7vy5f",1,"f"
"cmofo8wmp002xkw042o45ak4y","cmofo8wmm002vkw04lysupdmv","cmnh57xae009sii04n7ume162",1,"f"
"cmofo8wmt002zkw04hkr9otw5","cmofo8wmm002vkw04lysupdmv","cmn6uxom9005ll4044rvna997",1,"f"
"cmofo8wmw0031kw04kizju96n","cmofo8wmm002vkw04lysupdmv","cmn6uxos50073l404ktl7vy5f",1,"f"
"cmofo8wn40037kw04rfkkw41u","cmofo8wn10035kw040rocpexf","cmn6uxo6c001ll404cud1fces",1,"f"
"cmofo8wnc003dkw04msdon1f2","cmofo8wna003bkw04mtxwtw26","cmnh57xae009sii04n7ume162",1,"f"
"cmofo8wnf003fkw04omql5ipg","cmofo8wna003bkw04mtxwtw26","cmn6uxos20072l40488ybmoku",1,"f"
"cmofo8wnh003hkw04z88nrpkz","cmofo8wna003bkw04mtxwtw26","cmn6uxos50073l404ktl7vy5f",1,"f"
"cmofo8wnq003nkw04t171basa","cmofo8wnn003lkw049m0woqeo","cmn6uxojs004xl404eoinwe8z",1,"f"
"cmofo8wo0003tkw04jlpw6yjl","cmofo8wnw003rkw04880u4z61","cmnh57xae009sii04n7ume162",1,"f"
"cmofo8wo3003vkw04m5ta6dk8","cmofo8wnw003rkw04880u4z61","cmn6uxom9005ll4044rvna997",1,"f"
"cmofo8wo5003xkw04p59ze34v","cmofo8wnw003rkw04880u4z61","cmn6uxos50073l404ktl7vy5f",1,"f"
"cmofo8wod0043kw04c0hvfukb","cmofo8wob0041kw045qq2jqo3","cmnh57xae009sii04n7ume162",1,"f"
