"id","userId","productId","transactionType","quantity","referenceId","notes","createdAt","snapshotAreaId"
"cmp0lmee5000djp04xfq9kle9","cmn2ut48v000bjy04dn3fav4n","cmn6uxo68001kl40463yw45cf","USAGE_DEMOPLOT",-60,"cmp0lmedn0006jp040biseyfk","Demo plot: Sarjo - Padi","2026-05-11 02:44:45.533","cmmu5baag0002jp04tu1z121e"
"cmoguuja8000pjp04ekmtxmr3","cmmvjyntc0001l704r738ouwy","cmnh57v7z0021ii04v1ygmw8m","TRANSFER_TO_FO",-820,"cmogugfjf0001l404689uorlx","Transfer ke FO: Yanwar Setyabudi AP","2026-04-27 07:07:38.143","cmmu5baag0002jp04tu1z121e"
"cmoguuja8000rjp04gm4lhjeq","cmn2ut48v000bjy04dn3fav4n","cmnh57v7z0021ii04v1ygmw8m","RECEIVE_FROM_AFA",820,"cmogugfjf0001l404689uorlx","Terima dari AFA: Dhika Prasetya","2026-04-27 07:07:38.143","cmmu5baag0002jp04tu1z121e"
"cmoguujba000xjp04p4jvtf8l","cmmvjyntc0001l704r738ouwy","cmn6uxojz004zl404ieofic0p","TRANSFER_TO_FO",-680,"cmogugfjf0001l404689uorlx","Transfer ke FO: Yanwar Setyabudi AP","2026-04-27 07:07:38.179","cmmu5baag0002jp04tu1z121e"
"cmoguujba000zjp04ewdhcwg6","cmn2ut48v000bjy04dn3fav4n","cmn6uxojz004zl404ieofic0p","RECEIVE_FROM_AFA",680,"cmogugfjf0001l404689uorlx","Terima dari AFA: Dhika Prasetya","2026-04-27 07:07:38.179","cmmu5baag0002jp04tu1z121e"
"cmoguujbs0011jp04uxnpfn4t","cmmvjyntc0001l704r738ouwy","cmn6uxo5m001el404el39ylsi","TRANSFER_TO_FO",-85,"cmogugfjf0001l404689uorlx","Transfer ke FO: Yanwar Setyabudi AP","2026-04-27 07:07:38.198","cmmu5baag0002jp04tu1z121e"
"cmogmlnee000aju04dhawjr7z","cmmvjyntc0001l704r738ouwy","cmnh57uz80013ii04ndixblbn","ADJUSTMENT_PLUS",50,,"[Penyesuaian oleh System Admin] tes","2026-04-27 03:16:46.646","cmmu5baag0002jp04tu1z121e"
"cmogt5u3j0001ii05mt9jezjd","cmn2ut4aa0013jy04kr1572fk","cmn6uxoi0004fl404rc3xrewg","ADJUSTMENT_MINUS",-1,,"[Penyesuaian oleh SPV AFA] tes","2026-04-27 06:20:26.143","cmmu5bdk90003jp04wwmqip3w"
"cmogt7x3i0005kw04vwxwl6lv","cmn2ut4aa0013jy04kr1572fk","cmn6uxoi0004fl404rc3xrewg","ADJUSTMENT_PLUS",500,,"[Penyesuaian oleh SPV AFA] tes","2026-04-27 06:22:03.343","cmmu5bdk90003jp04wwmqip3w"
"cmogtapgi000hkw04ktdnv4a4","cmmvjyntc0001l704r738ouwy","cmnh57v3f001nii04jiigv6ie","ADJUSTMENT_PLUS",3050,,"[Penyesuaian oleh SPV AFA] update stock awal (pemutihan)","2026-04-27 06:24:13.41","cmmu5baag0002jp04tu1z121e"
