"id","userId","title","message","link","isRead","createdAt"
"cmogld7bm0004la0480l1n7ov","cmmu0cmt50002zfy00lo3kqqw","👤 Permintaan Akun Baru","Ujang Yayat Abdurahman (AFA) mengajukan pembuatan akun dengan username ""ujangya"".","/dashboard/master/requests","f","2026-04-27 02:42:12.946"
"cmogld7bd0002la04ilf3z1qm","cmmu0cn8x0004zfy0rje4s1oa","👤 Permintaan Akun Baru","Ujang Yayat Abdurahman (AFA) mengajukan pembuatan akun dengan username ""ujangya"".","/dashboard/master/requests","t","2026-04-27 02:42:12.937"
"cmoglnp860004lb04af30vtja","cmmu0cmt50002zfy00lo3kqqw","👤 Permintaan Akun Baru","farras raffael (INTERN) mengajukan pembuatan akun dengan username ""farras raffael"".","/dashboard/master/requests","f","2026-04-27 02:50:22.71"
"cmoglnp7z0002lb04rxwt63uj","cmmu0cn8x0004zfy0rje4s1oa","👤 Permintaan Akun Baru","farras raffael (INTERN) mengajukan pembuatan akun dengan username ""farras raffael"".","/dashboard/master/requests","t","2026-04-27 02:50:22.703"
"cmogmakyr0007lb04hcw9l7pa","cmmu0cn8x0004zfy0rje4s1oa","📩 Pengajuan Stok Baru (AFA)","Dhika Prasetya telah mengajukan permintaan restock gudang AFA.","/dashboard/stock","t","2026-04-27 03:08:10.275"
"cmogm9d0f0006ju04xstbgggi","cmmu0cn8x0004zfy0rje4s1oa","📩 Pengajuan Stok Baru (AFA)","Dhika Prasetya telah mengajukan permintaan restock gudang AFA.","/dashboard/stock","t","2026-04-27 03:07:13.311"
"cmojblfow000fla04ave76kyy","cmn2ut4aa0013jy04kr1572fk","📝 Realisasi Demo Plot","Giffari Putra Sudarisman telah menyimpan realisasi demo plot untuk petani Pak Khamim.","/dashboard/demoplot/detail/cmojblfni0002la04jge6j76i","f","2026-04-29 00:31:59.408"
"cmogmd1pi0009lb04if5gum2s","cmnqvj5hf0001l804cdnu5y2i","📩 Pengajuan Stok Menunggu Approval FA Manager","Pengajuan stok AFA (Dhika Prasetya) telah disetujui SPV dan menunggu approval Anda.","/dashboard/stock","t","2026-04-27 03:10:05.286"
"cmogmpiy60001ky04qr39edsr","cmnqvkhsd0003l8046midb5wl","📩 Pengajuan Stok Menunggu Approval WH Manager","Pengajuan stok AFA (Dhika Prasetya) telah disetujui FA Manager dan menunggu approval Anda.","/dashboard/stock","t","2026-04-27 03:19:47.502"
"cmogmpzg70001jy0488ib977g","cmmu0cn8x0004zfy0rje4s1oa","📦 Stok Siap Diterima","Pengajuan stok AFA (Dhika Prasetya) telah disetujui WH Manager. Silakan lakukan konfirmasi penerimaan.","/dashboard/stock","t","2026-04-27 03:20:08.888"
"cmogmxhto0005l204p9fffdma","cmmvjyntc0001l704r738ouwy","📩 Permintaan Stok Baru (FO)","Bagas Abidin Budiono mengajukan permintaan pengambilan stok baru.","/dashboard/demoplot/detail/cmogmxht30001l204708snp18","t","2026-04-27 03:25:59.292"
"cmogn8mfn000bjy04jqb544z3","cmn2ut49c000jjy04w4uedgc1","✅ Permintaan Stok Disetujui","Permintaan stok Anda (ID: CMOGMXHT) telah disetujui oleh AFA.
Catatan: tes","/dashboard/demoplot/detail/cmogmxht30001l204708snp18","f","2026-04-27 03:34:38.483"
"cmogofx5i0005jv04u628onyv","cmmu0cn8x0004zfy0rje4s1oa","📩 Pengajuan Stok Baru (AFA)","Muhammad Gandhi Gumelar telah mengajukan permintaan restock gudang AFA.","/dashboard/stock","t","2026-04-27 04:08:18.582"
