"id","opnameId","productId","systemStock","physicalStock","variance","notes"
"cmognn7jb0009l104nxpyo4hf","cmognn7j20007l1049hmgq8y9","cmnh57uz80013ii04ndixblbn",25,15,-10,"tes"
"cmogyaoxs0003ib04msyy5821","cmogyaoxk0001ib04qo85z3gm","cmn6uxo68001kl40463yw45cf",1455,1455,0,"Sesuai"
"cmogyaoxz0005ib044pl07zrb","cmogyaoxk0001ib04qo85z3gm","cmn6uxo5m001el404el39ylsi",85,85,0,"Sesuai"
"cmogyaoy20007ib0462aoju5d","cmogyaoxk0001ib04qo85z3gm","cmn6uxojz004zl404ieofic0p",650,650,0,"Sesuai"
"cmogyaoy50009ib0408envv0q","cmogyaoxk0001ib04qo85z3gm","cmn6uxohw004el404yr648ktq",1320,1320,0,"Sesuai"
"cmogyaoy8000bib048at10ggq","cmogyaoxk0001ib04qo85z3gm","cmn6uxope006el4042tfxjgry",100,100,0,"Sesuai"
"cmogyaoyb000dib04ik4inmb8","cmogyaoxk0001ib04qo85z3gm","cmn6uxolu005hl404jxgk0691",60,60,0,"Sesuai"
"cmogyaoye000fib04n01bywx2","cmogyaoxk0001ib04qo85z3gm","cmn6uxos50073l404ktl7vy5f",80,80,0,"Sesuai"
"cmogyaoyh000hib048x5p4v4h","cmogyaoxk0001ib04qo85z3gm","cmn6uxoqc006nl404t2zlp86z",452,452,0,"Sesuai"
"cmogyaoyk000jib0475o3wkip","cmogyaoxk0001ib04qo85z3gm","cmnh57v3f001nii04jiigv6ie",900,900,0,"Sesuai"
"cmogyaoym000lib04wa4p9w14","cmogyaoxk0001ib04qo85z3gm","cmnh57v7z0021ii04v1ygmw8m",820,820,0,"Sesuai"
"cmogyaoyp000nib04zepriwg7","cmogyaoxk0001ib04qo85z3gm","cmnh57xam009uii04kms3op12",900,900,0,"Sesuai"
"cmogyceve0003l104fcffgpm9","cmogycev80001l104sz48kud0","cmn6uxo68001kl40463yw45cf",1455,1455,0,"Sesuai"
"cmogycevj0005l1044x37wz15","cmogycev80001l104sz48kud0","cmn6uxo5m001el404el39ylsi",85,85,0,"Sesuai"
"cmogycevm0007l104mbkqa5t3","cmogycev80001l104sz48kud0","cmn6uxojz004zl404ieofic0p",650,680,30,"tes"
"cmogycevo0009l10433051fcy","cmogycev80001l104sz48kud0","cmn6uxohw004el404yr648ktq",1320,1320,0,"Sesuai"
"cmogycevq000bl104pbtfmvjq","cmogycev80001l104sz48kud0","cmn6uxope006el4042tfxjgry",100,100,0,"Sesuai"
"cmogycevs000dl1047l6508wm","cmogycev80001l104sz48kud0","cmn6uxolu005hl404jxgk0691",60,60,0,"Sesuai"
"cmogycevu000fl104kysjkm7p","cmogycev80001l104sz48kud0","cmn6uxos50073l404ktl7vy5f",80,110,30,"tes"
