"id","name","description","unit","createdAt","updatedAt","code","gramasiPerUnit","unitGramasi","accurateId","spvStock"
"cmn6uxo35000sl404a28w5urn","Fastac 15 EC 100 ml","Fastac 15 EC 100 ml","Btl","2026-03-26 02:32:40.241","2026-05-18 00:12:12.888","BAS-IK-118",100,"ml","BAS-IK-118",93
"cmn6uxo5h001dl404hwz19n03","Gasing 135 SL 1 L","Gasing 135 SL 1 L","Btl","2026-03-26 02:32:40.326","2026-05-18 00:12:13.001","BTS-HB-039",1000,"ml","BTS-HB-039",218
"cmn6uxo61001il404vpmc2z1o","Glufo Pro 200 SL 1 L","Glufo Pro 200 SL 1 L","Btl","2026-03-26 02:32:40.346","2026-05-18 00:12:13.058","BTS-HB-105",1000,"ml","BTS-HB-105",33
"cmn6uxo080002l404zt13thgd","Jagung Manis Madu - 59 F1 250 gr","Jagung Manis Madu - 59 F1 250 gr","PCS","2026-03-26 02:32:40.136","2026-05-18 00:12:13.181","ADV-BB-014",250,"gr","ADV-BB-014",23
"cmn6uxo120009l404dhqqbrnm","Jagung Manis Renjana F1 250 gr","Jagung Manis Renjana F1 250 gr","PCS","2026-03-26 02:32:40.166","2026-05-18 00:12:13.185","ADV-BB-022",250,"gr","ADV-BB-022",106
"cmn6uxo6j001nl404hvszvxd5","Joki 400 SL 200 ml","Joki 400 SL 200 ml","Btl","2026-03-26 02:32:40.364","2026-05-18 00:12:13.221","BTS-IK-166",200,"ml","BTS-IK-166",2400
"cmn6uxo4r0017l404qliwtq5w","Kaos Ziflo","Kaos Ziflo","PCS","2026-03-26 02:32:40.299","2026-05-18 00:12:13.277","BN-004",,,"BN-004",0
"cmn6uxo6y001rl404yk1bpgge","Nativo 75 WG 12.5 gr","Nativo 75 WG 12.5 gr","Bks","2026-03-26 02:32:40.378","2026-05-18 00:12:13.915","BYR-FG-047",12.5,"gr","BYR-FG-047",0
"cmn6uxo5u001gl404j5l6y9bt","Nicofuron 80 OD 500 ml","Nicofuron 80 OD 500 ml","Btl","2026-03-26 02:32:40.338","2026-05-18 00:12:13.95","BTS-HB-082",500,"ml","BTS-HB-082",1511
"cmn6uxo3d000ul404a98lwtfm","Oyong F1 Emerald @ 10 gr","Oyong F1 Emerald @ 10 gr","Bks","2026-03-26 02:32:40.25","2026-05-18 00:12:14.098","BB-001",10,"gr","BB-001",0
"cmn6uxo0g0004l4040c2g84e1","Paria Hibrida Beijing 23 F1 10 gr","Paria Hibrida Beijing 23 F1 10 gr","PCS","2026-03-26 02:32:40.145","2026-05-18 00:12:14.11","ADV-BB-016",10,"gr","ADV-BB-016",1560
"cmn6uxo6u001ql404yvqf8cjq","Previcur-N 722SL 500 ml","Previcur-N 722SL 500 ml","Bks","2026-03-26 02:32:40.375","2026-05-18 00:12:14.262","BYR-FG-031",500,"ml","BYR-FG-031",0
"cmnh57wm9007mii04yuo77pw6","Rapid Zone 20 WG 20 gr",,"PCS","2026-04-02 07:18:15.778","2026-05-18 00:12:14.31","BTS-HB-052",20,"gr","BTS-HB-052",316
"cmn6uxo4g0014l4042pvivfkt","Rovral 50 WP 100 gr","Rovral 50 WP 100 gr","Bks","2026-03-26 02:32:40.288","2026-05-18 00:12:14.411","BGK-FG-088",100,"gr","BGK-FG-088",0
"cmn6uxo65001jl404sglinnlj","Serbu 400/60 SL 250 ml","Serbu 400/60 SL 250 ml","Btl","2026-03-26 02:32:40.349","2026-05-18 00:12:14.488","BTS-HB-112",250,"ml","BTS-HB-112",0
"cmn6uxo1s000gl404ialahsei","Sevin 85 SP 100 gr","Sevin 85 SP 100 gr","Bks","2026-03-26 02:32:40.193","2026-05-18 00:12:14.5","AGR-IK-081",100,"gr","AGR-IK-081",54
"cmn6uxo1w000hl4047vggm3c8","Spontan King 400 SL 1 L","Spontan King 400 SL 1 L","Btl","2026-03-26 02:32:40.197","2026-05-18 00:12:14.671","AGR-IK-129",1000,"ml","AGR-IK-129",93
"cmn6uxo480012l404fz3orjm5","Sumo 50 EC 80 ml","Sumo 50 EC 80 ml","Btl","2026-03-26 02:32:40.281","2026-05-18 00:12:14.863","BEL-IK-120",80,"ml","BEL-IK-120",167
"cmn6uxo6f001ml404it2aizn5","Talonil 350 EC 1 L","Talonil 350 EC 1 L","Btl","2026-03-26 02:32:40.36","2026-05-18 00:12:14.922","BTS-IK-130",1000,"ml","BTS-IK-130",5
"cmn6uxo1a000bl404om3lynrz","Timun Lavanta F1","Timun Lavanta F1","PCS","2026-03-26 02:32:40.174","2026-05-18 00:12:14.998","ADV-BB-027",20,"gr","ADV-BB-027",479
"cmn6uxo3l000wl404cm4qol2x","Tomat F1 DT Investor @ 10 gr","Tomat F1 DT Investor @ 10 gr","Bks","2026-03-26 02:32:40.257","2026-05-18 00:12:15.006","BB-004",10,"gr","BB-004",0
"cmn6uxo0k0005l404gyk86um6","Tomat Hibrida Nona 23 F1 5 gr","Tomat Hibrida Nona 23 F1 5 gr","PCS","2026-03-26 02:32:40.149","2026-05-18 00:12:15.02","ADV-BB-017",5,"gr","ADV-BB-017",878
"cmn6uxo4c0013l4049k093715","nn Srikandi 160/20 OD 50 ml","nn Srikandi 160/20 OD 50 ml","Btl","2026-03-26 02:32:40.285","2026-05-18 00:12:15.433","BEL-NN-147",50,"ml","BEL-NN-147",0
"cmn6uxpbg00c9l404x9h4drqf","AP Boot 2017 Lemon Green 39","AP Boot 2017 Lemon Green 39","PCS","2026-03-26 02:32:41.836","2026-05-18 00:12:11.787","WGI-SPT-001",,,"WGI-SPT-001",2
"cmn6uxo2d000ll404frmst64l","Agrimore-P 15+30+15 500 gr (Orange)","Agrimore-P 15+30+15 500 gr (Orange)","Bks","2026-03-26 02:32:40.213","2026-05-18 00:12:11.999","AGR-PK-060",500,"gr","AGR-PK-060",96
"cmn6uxo6r001pl404do2p5r9m","Antracol 70 WP 250 gr","Antracol 70 WP 250 gr","Bks","2026-03-26 02:32:40.371","2026-05-18 00:12:12.094","BYR-FG-028",250,"gr","BYR-FG-028",557
"cmn6uxo4j0015l4043pan3161","Arrivo 30 EC 500 ml","Arrivo 30 EC 500 ml","Btl","2026-03-26 02:32:40.292","2026-05-18 00:12:12.132","BGK-IK-116",500,"ml","BGK-IK-116",46
"cmn6uxo2k000nl4049xmwqcgv","Basmirata 15 WP 50 gr","Basmirata 15 WP 50 gr","Bks","2026-03-26 02:32:40.221","2026-05-18 00:12:12.185","ALT-HB-077",50,"gr","ALT-HB-077",0
"cmn6uxo1h000dl404d7h9c5en","Benefit 75 WP 500 gr","Benefit 75 WP 500 gr","Bks","2026-03-26 02:32:40.182","2026-05-18 00:12:12.218","AGR-FG-066",500,"gr","AGR-FG-066",592
"cmn6uxo4n0016l404iw0wmhk8","Benih Jagung Bisi 2 1 Kg","Benih Jagung Bisi 2 1 Kg","PCS","2026-03-26 02:32:40.295","2026-05-18 00:12:12.231","BISI-BB-011",1000,"gr","BISI-BB-011",0
"cmn6uxo3x000zl4042rb5sjex","Benih Semi F1 Bintang Asia","Benih Semi F1 Bintang Asia","PCS","2026-03-26 02:32:40.269","2026-05-18 00:12:12.251","BCA-BB-006",20,"gr","BCA-BB-006",0
"cmn6uxo5x001hl404xbu77iza","Besfuron 20 WP 250 gr","Besfuron 20 WP 250 gr","Btl","2026-03-26 02:32:40.342","2026-05-18 00:12:12.263","BTS-HB-084",250,"gr","BTS-HB-084",232
"cmn6uxo410010l404kpkmtpl9","Bibit Labana F1 Bintang Asia","Bibit Labana F1 Bintang Asia","PCS","2026-03-26 02:32:40.273","2026-05-18 00:12:12.297","BCA-BB-007",10,"gr","BCA-BB-007",0
"cmn6uxo450011l404zr2b73an","Bibit Semangka F1","Bibit Semangka F1","Bks","2026-03-26 02:32:40.277","2026-05-18 00:12:12.301","BCA-BB-008",20,"gr","BCA-BB-008",0
"cmn6uxo5q001fl4045v3xbcyq","Bilis 500 SC 1 L","Bilis 500 SC 1 L","Btl","2026-03-26 02:32:40.334","2026-05-18 00:12:12.314","BTS-HB-051",1000,"ml","BTS-HB-051",467
