"id","foId","afaId","farmerId","area","commodity","cbReference","problem","plan","status","createdAt","updatedAt","accurateInvoiceNo","rejectReason","snapshotAreaId","warehouseSource"
"cmofmcii40001lb04c8n3wx8i","cmn2ut493000fjy0417cppvuq",,"cmofiplex0013l204y5lcw5o6","TGH4","Tropong, kentang",,,"Migrated Standalone Demo Plot","DEMO_PLOT_SELESAI","2026-02-20 00:00:00","2026-04-26 10:21:54.22",,,,"MAIN"
"cmofmcikj0005lb04beo670r1","cmn2ut490000djy043kfw99u4",,"cmofiplj1002ll204ajujewwi","TGH3","Padi",,,"Migrated Standalone Demo Plot","DEMO_PLOT_SELESAI","2026-02-21 00:00:00","2026-04-26 10:21:54.307",,,,"MAIN"
"cmofmcikq0009lb04fe6n7vns","cmn2ut48r0009jy04hylrc57r",,"cmofiq21h02wml204insn62fi","TGH2","Jagung",,,"Migrated Standalone Demo Plot","DEMO_PLOT_SELESAI","2026-02-21 00:00:00","2026-04-26 10:21:54.315",,,,"MAIN"
"cmofmcikx000dlb04wbcrm2bv","cmn2ut48j0007jy040a1gsnei",,"cmofipljx002yl204axzktlla","TGH2","Padi",,,"Migrated Standalone Demo Plot","DEMO_PLOT_SELESAI","2026-02-21 00:00:00","2026-04-26 10:21:54.322",,,,"MAIN"
"cmofmcil5000hlb04bogj0wce","cmn2ut48r0009jy04hylrc57r",,"cmofiplkv0036l2047qb1ucc3","TGH2","Cabai",,,"Migrated Standalone Demo Plot","DEMO_PLOT_SELESAI","2026-02-21 00:00:00","2026-04-26 10:21:54.329",,,,"MAIN"
"cmofmcilc000llb04xn3dnw7d","cmn2ut48r0009jy04hylrc57r",,"cmofipllk003fl204fy49wh0r","TGH2","Cabai",,,"Migrated Standalone Demo Plot","DEMO_PLOT_SELESAI","2026-02-22 00:00:00","2026-04-26 10:21:54.337",,,,"MAIN"
"cmofmcilj000plb04mdogkft9","cmn2ut48r0009jy04hylrc57r",,"cmofiplkv0036l2047qb1ucc3","TGH2","Cabai",,,"Migrated Standalone Demo Plot","DEMO_PLOT_SELESAI","2026-02-22 00:00:00","2026-04-26 10:21:54.343",,,,"MAIN"
"cmofmcilp000tlb04qbtwdgn4","cmn2ut48r0009jy04hylrc57r",,"cmofiplkn0033l204mm8d35sd","TGH2","Cabai",,,"Migrated Standalone Demo Plot","DEMO_PLOT_SELESAI","2026-02-22 00:00:00","2026-04-26 10:21:54.35",,,,"MAIN"
"cmofmcilv000xlb04filcggtt","cmn2ut48r0009jy04hylrc57r",,"cmofiq21h02wml204insn62fi","TGH2","Jagung",,,"Migrated Standalone Demo Plot","DEMO_PLOT_SELESAI","2026-02-22 00:00:00","2026-04-26 10:21:54.355",,,,"MAIN"
"cmofmcim10011lb048ue3umv5","cmn2ut48j0007jy040a1gsnei",,"cmofiplgl001ol204u0lc2h0v","TGH2","Padi",,,"Migrated Standalone Demo Plot","DEMO_PLOT_SELESAI","2026-02-23 00:00:00","2026-04-26 10:21:54.361",,,,"MAIN"
"cmofmcim70015lb046o2qn818","cmn2ut48r0009jy04hylrc57r",,"cmofiq37h033pl2041scx5qrh","TGH2","melon",,,"Migrated Standalone Demo Plot","DEMO_PLOT_SELESAI","2026-02-23 00:00:00","2026-04-26 10:21:54.367",,,,"MAIN"
"cmofmcimc0019lb04liz3wa2w","cmn2ut48r0009jy04hylrc57r",,"cmofiplo40049l2045cr3vwrb","TGH2","Padi",,,"Migrated Standalone Demo Plot","DEMO_PLOT_SELESAI","2026-02-23 00:00:00","2026-04-26 10:21:54.373",,,,"MAIN"
"cmofmcimi001dlb047tcfxy0z","cmn2ut48r0009jy04hylrc57r",,"cmofiploc004cl204bw5ma616","TGH2","Padi",,,"Migrated Standalone Demo Plot","DEMO_PLOT_SELESAI","2026-02-23 00:00:00","2026-04-26 10:21:54.378",,,,"MAIN"
"cmofmcimo001hlb0432i60e3u","cmn2ut48r0009jy04hylrc57r",,"cmofiplly003il204pixtvr02","TGH2","Padi",,,"Migrated Standalone Demo Plot","DEMO_PLOT_SELESAI","2026-02-23 00:00:00","2026-04-26 10:21:54.385",,,,"MAIN"
"cmofmcimu001llb04atdr9nxg","cmn2ut48r0009jy04hylrc57r",,"cmofiplp9004ol204rlbephqi","TGH2","Jagung",,,"Migrated Standalone Demo Plot","DEMO_PLOT_SELESAI","2026-02-24 00:00:00","2026-04-26 10:21:54.39",,,,"MAIN"
"cmofmcin0001plb04vmyi8zeh","cmn2ut48v000bjy04dn3fav4n",,"cmofiplq40050l204yx5tozwi","TGH1","Jagung",,,"Migrated Standalone Demo Plot","DEMO_PLOT_SELESAI","2026-02-24 00:00:00","2026-04-26 10:21:54.397",,,,"MAIN"
"cmofmcin6001tlb04a16jevmd","cmmu0cnp40006zfy02oc00oz1",,"cmofipnxe00ixl204hk2j1eay","TGH1","Padi",,,"Migrated Standalone Demo Plot","DEMO_PLOT_SELESAI","2026-02-24 00:00:00","2026-04-26 10:21:54.403",,,,"MAIN"
"cmofmcind001xlb04jpl7rbef","cmn2ut48r0009jy04hylrc57r",,"cmofm58g10000li04hicb03z0","TGH2","melon",,,"Migrated Standalone Demo Plot","DEMO_PLOT_SELESAI","2026-02-25 00:00:00","2026-04-26 10:21:54.409",,,,"MAIN"
"cmofmcinj0021lb04ahi6td1d","cmn2ut490000djy043kfw99u4",,"cmofm58g70001li04uzf2ibdc","TGH3","Padi",,,"Migrated Standalone Demo Plot","DEMO_PLOT_SELESAI","2026-02-25 00:00:00","2026-04-26 10:21:54.415",,,,"MAIN"
