"id","requestId","productId","qtyRequested","qtyApproved","requestUnit"
"cmogugfjf0003l404fjth5d8d","cmogugfjf0001l404689uorlx","cmnh57v3f001nii04jiigv6ie",900,900,"ml"
"cmogugfjf0004l404ptvgw2pt","cmogugfjf0001l404689uorlx","cmn6uxos50073l404ktl7vy5f",110,110,"ml"
"cmogugfjf0005l404wgyk4xqf","cmogugfjf0001l404689uorlx","cmn6uxoqc006nl404t2zlp86z",452,452,"ml"
"cmogugfjf0006l404u2ki5yyb","cmogugfjf0001l404689uorlx","cmn6uxope006el4042tfxjgry",100,100,"ml"
"cmogugfjf0007l404vmw9fcj3","cmogugfjf0001l404689uorlx","cmn6uxo68001kl40463yw45cf",1455,1455,"gr"
"cmogugfjf0008l4041c4vbgt3","cmogugfjf0001l404689uorlx","cmnh57v7z0021ii04v1ygmw8m",820,820,"ml"
"cmogugfjf0009l4049739bjio","cmogugfjf0001l404689uorlx","cmn6uxolu005hl404jxgk0691",60,60,"ml"
"cmogugfjf000al404eqrptsva","cmogugfjf0001l404689uorlx","cmn6uxojz004zl404ieofic0p",680,680,"ml"
"cmogugfjf000bl404h37di2we","cmogugfjf0001l404689uorlx","cmn6uxo5m001el404el39ylsi",85,85,"gr"
"cmogugfjf000cl4040rn4wkk1","cmogugfjf0001l404689uorlx","cmnh57xam009uii04kms3op12",900,900,"gr"
"cmogugfjf000dl404n41jip0z","cmogugfjf0001l404689uorlx","cmn6uxohw004el404yr648ktq",1320,1320,"gr"
"cmogujwol004bjs04o2k7fp5l","cmogujwol0049js04g3gmdun2","cmnh57v7z0021ii04v1ygmw8m",1000,1000,"ml"
"cmogujwol004cjs04shrp0i8i","cmogujwol0049js04g3gmdun2","cmn6uxos50073l404ktl7vy5f",500,500,"ml"
"cmogujwol004djs04slgtkoq3","cmogujwol0049js04g3gmdun2","cmnh57v3f001nii04jiigv6ie",500,500,"ml"
"cmogujwol004ejs04llu3xxv2","cmogujwol0049js04g3gmdun2","cmnh57v75001xii04sjvur9am",500,500,"ml"
"cmogujwol004fjs041qyzx1f7","cmogujwol0049js04g3gmdun2","cmnh57was006tii04hxq52eez",160,160,"gr"
"cmogujwol004gjs04go37txj4","cmogujwol0049js04g3gmdun2","cmnh57wf30074ii04no40fld7",1200,1200,"gr"
"cmogujwol004hjs04rzna6dyb","cmogujwol0049js04g3gmdun2","cmn6uxoho004cl404shdz6ehi",3,3000,"gr"
"cmogujwol004ijs04hwt5jkqe","cmogujwol0049js04g3gmdun2","cmn6uxohw004el404yr648ktq",1500,1500,"gr"
"cmogujwol004jjs04d8t5dhz2","cmogujwol0049js04g3gmdun2","cmn6uxoi0004fl404rc3xrewg",1000,1000,"gr"
"cmogujwol004kjs04xqns2he2","cmogujwol0049js04g3gmdun2","cmn6uxo510019l404db2jw3c6",1600,1600,"gr"
"cmogujwol004ljs04mj0sbal4","cmogujwol0049js04g3gmdun2","cmnh57xam009uii04kms3op12",800,800,"gr"
"cmoguyqy40003ky04u4sb863z","cmoguyqy40001ky04rtxoisi7","cmnh57v3f001nii04jiigv6ie",150,150,"ml"
"cmoguyqy40004ky043o22wj1u","cmoguyqy40001ky04rtxoisi7","cmn6uxoqc006nl404t2zlp86z",100,100,"ml"
"cmoguyqy40005ky04o5onmcxd","cmoguyqy40001ky04rtxoisi7","cmnh57vtq004iii047vhl4tfv",120,120,"ml"
"cmoguyqy40006ky04te3klgyf","cmoguyqy40001ky04rtxoisi7","cmnh57uwr000zii04jxdbomov",340,340,"ml"
"cmoguyqy40007ky04pagncsyu","cmoguyqy40001ky04rtxoisi7","cmnh57v7z0021ii04v1ygmw8m",600,600,"ml"
"cmoguyqy40008ky040f50g8t2","cmoguyqy40001ky04rtxoisi7","cmn6uxope006el4042tfxjgry",600,600,"ml"
"cmoguyqy40009ky040ntxkn13","cmoguyqy40001ky04rtxoisi7","cmn6uxocr003al404uua0n5sw",775,775,"ml"
"cmoguyqy4000aky044s6bjq30","cmoguyqy40001ky04rtxoisi7","cmn6uxos50073l404ktl7vy5f",300,300,"ml"
"cmoguyqy4000bky04hcpm9lew","cmoguyqy40001ky04rtxoisi7","cmn6uxohw004el404yr648ktq",500,500,"gr"
"cmoguyqy4000cky04yl4vpodb","cmoguyqy40001ky04rtxoisi7","cmnh57xam009uii04kms3op12",500,500,"gr"
"cmogm9czf0003ju0436a8tz19","cmogm9czf0001ju04m2grlin0","cmn6uxos20072l40488ybmoku",10,10,
"cmogm9czf0004ju044inlor4k","cmogm9czf0001ju04m2grlin0","cmn6uxoly005il404wdjxclm0",20,20,
"cmogmakxj0005lb043nbzjoce","cmogmakxj0003lb048uxagi26","cmnh57wl8007iii041ir74kwe",10,10,
"cmogmxht30003l20407oou2q5","cmogmxht30001l204708snp18","cmnh57uz80013ii04ndixblbn",10,25,"ml"
"cmogo9tvu0003jr04jbue56za","cmogo9tun0001jr046knpzedm","cmnh57uz80013ii04ndixblbn",10,,"ml"
"cmogofx4j0003jv046j1qa848","cmogofx4j0001jv04haa9v6qy","cmn6uxocr003al404uua0n5sw",4,4,
"cmogog2dg0009jr04r94m4lln","cmogog2dg0007jr04rh3qmipa","cmnh57uz80013ii04ndixblbn",10,,"ml"
"cmogoirrr0003jt04he9rz0fo","cmogoirrr0001jt04c2t7vnab","cmnh57uwr000zii04jxdbomov",3,3,
"cmogoja310009jt04ywks16je","cmogoja300007jt04x71mjal5","cmnh57uz80013ii04ndixblbn",10,,"ml"
"cmogujwol004mjs04965ew021","cmogujwol0049js04g3gmdun2","cmn6uxoqc006nl404t2zlp86z",600,600,"ml"
"cmoguyqy4000dky04q8kwnj63","cmoguyqy40001ky04rtxoisi7","cmn6uxo68001kl40463yw45cf",375,375,"gr"
"cmoguyqy4000eky047wxtq6ru","cmoguyqy40001ky04rtxoisi7","cmn6uxo5m001el404el39ylsi",55,55,"gr"
"cmoguyqy4000fky04cc1lwalo","cmoguyqy40001ky04rtxoisi7","cmnh57was006tii04hxq52eez",180,180,"gr"
