"id","userId","productId","quantity","transactionType","notes","referenceId","createdAt"
"cmogkcf8o0001l2042djek278","cmmu0cn8x0004zfy0rje4s1oa","cmn6uxocr003al404uua0n5sw",5,"SAMPLE_IN","tes",,"2026-04-27 02:13:36.936"
"cmogokpo30001k104sqf8uqfx","cmmu0cn8x0004zfy0rje4s1oa","cmn6uxocr003al404uua0n5sw",50,"SAMPLE_IN",,,"2026-04-27 04:12:02.163"
"cmogoyp830003k104fnaivn1d","cmmu0cn8x0004zfy0rje4s1oa","cmn6uxocr003al404uua0n5sw",-55,"OPNAME_MINUS","Test apps",,"2026-04-27 04:22:54.747"
"cmogp1lzc0001l704uafa2kxq","cmmu0cn8x0004zfy0rje4s1oa","cmn6uxocr003al404uua0n5sw",20,"SAMPLE_IN","Sample dr Principal PT Eterna",,"2026-04-27 04:25:10.536"
"cmogp2blu0003l704t3vgipzf","cmmu0cn8x0004zfy0rje4s1oa","cmnh57wl8007iii041ir74kwe",10,"SAMPLE_IN","tes",,"2026-04-27 04:25:43.744"
"cmoqzvsmh0007jt04v0l044b1","cmmu0cn8x0004zfy0rje4s1oa","cmn6uxoqc006nl404t2zlp86z",3,"SAMPLE_IN","Sample Principal",,"2026-05-04 09:26:16.746"
"cmoqzw4b50001ii04pdkunqp3","cmmu0cn8x0004zfy0rje4s1oa","cmn6uxoqc006nl404t2zlp86z",-2,"SAMPLE_OUT","Sampel ke AFA Dhika Prasetya (req CMOQRWRM)","cmoqrwrm5000jl004pt8grnho","2026-05-04 09:26:31.889"
"cmoqzway10001l204joqs2mxk","cmmu0cn8x0004zfy0rje4s1oa","cmn6uxoqc006nl404t2zlp86z",-1,"SAMPLE_OUT","Sampel ke AFA Muhammad Gandhi Gumelar (req CMOQZV4D)","cmoqzv4dn0001jt045h5g8b9v","2026-05-04 09:26:40.489"
"cmos91sod0001i5047lvx30od","cmmu0cn8x0004zfy0rje4s1oa","cmn6uxocr003al404uua0n5sw",-1,"SAMPLE_OUT","Sampel ke AFA Muhammad Gandhi Gumelar (req CMOS53XC)","cmos53xcu0001la0442zv6ay5","2026-05-05 06:30:39.47"
"cmosceqmp0001l204p4fne2or","cmmu0cn8x0004zfy0rje4s1oa","cmnh57wl8007iii041ir74kwe",-10,"OPNAME_MINUS","Test",,"2026-05-05 08:04:42.193"
"cmouvcz2m0001l8047escbgnu","cmmu0cn8x0004zfy0rje4s1oa","cmn6uxocr003al404uua0n5sw",3,"OPNAME_PLUS","Tambahan sample ecer",,"2026-05-07 02:30:44.878"
"cmouwdfhv0004jo05zuwh29pz","cmmu0cn8x0004zfy0rje4s1oa","cmouwdfhh0002jo0508kgb4cy",1,"SAMPLE_IN","Sampel Produk Jual",,"2026-05-07 02:59:05.78"
"cmouwfsrn0002kz04ii4gzqwz","cmmu0cn8x0004zfy0rje4s1oa","cmouwfsrh0000kz04u079so94",50,"SAMPLE_IN","Sampel dari Principal",,"2026-05-07 03:00:56.291"
"cmouwgtv40005kz04pv9ha0uv","cmmu0cn8x0004zfy0rje4s1oa","cmouwgtv10003kz04yccdaufs",1,"SAMPLE_IN","Sampel Kemasan Jual",,"2026-05-07 03:01:44.369"
"cmouwhj750008kz04apgvtb51","cmmu0cn8x0004zfy0rje4s1oa","cmouwhj710006kz04va4b3kx5",3,"SAMPLE_IN","Sampel Produk Jual",,"2026-05-07 03:02:17.201"
"cmouwip7n0002ih04b6f4jzqo","cmmu0cn8x0004zfy0rje4s1oa","cmouwip7i0000ih048law0rvl",2,"SAMPLE_IN","Sampel Produk Jual",,"2026-05-07 03:03:11.652"
"cmouwj6wq0002jp047uakd5kx","cmmu0cn8x0004zfy0rje4s1oa","cmouwj6wi0000jp04x629ehhw",4,"SAMPLE_IN","Sampel Produk Jual",,"2026-05-07 03:03:34.586"
"cmouwjqk20002i904cp9eb1lr","cmmu0cn8x0004zfy0rje4s1oa","cmouwjqjv0000i9048329vsnm",5,"SAMPLE_IN","Sampel Produk Jual",,"2026-05-07 03:04:00.05"
"cmouwka2k0005i9042peh9gkv","cmmu0cn8x0004zfy0rje4s1oa","cmouwka2g0003i904if7kxgev",4,"SAMPLE_IN","Sampel Produk Jual",,"2026-05-07 03:04:25.341"
"cmouwlvxp000bkz041dpmb8z3","cmmu0cn8x0004zfy0rje4s1oa","cmouwlvxl0009kz04y8l0evzr",1,"SAMPLE_IN","Sampel dari Principal",,"2026-05-07 03:05:40.333"
"cmouwmhes000cjr04psirpuwt","cmmu0cn8x0004zfy0rje4s1oa","cmouwmhel000ajr048rsb19au",15,"SAMPLE_IN","Sampel dari Principal",,"2026-05-07 03:06:08.164"
"cmouwo0p0000ijr04dey8nvo7","cmmu0cn8x0004zfy0rje4s1oa","cmouwo0ow000gjr04q78cbo53",14,"SAMPLE_IN","Sampel dari Principal",,"2026-05-07 03:07:19.812"
"cmouwucjl0002jx04d2cm2mvs","cmmu0cn8x0004zfy0rje4s1oa","cmouwucj50000jx04wk5obt30",6,"SAMPLE_IN","Sampel dari Principal",,"2026-05-07 03:12:15.106"
"cmouwusw00005jx049u1pfbws","cmmu0cn8x0004zfy0rje4s1oa","cmouwusvv0003jx042mhr0i3o",15,"SAMPLE_IN","Sampel dari Principal",,"2026-05-07 03:12:36.288"
"cmouwv7830008jx04opcrir1p","cmmu0cn8x0004zfy0rje4s1oa","cmouwv7800006jx04g3jttypx",15,"SAMPLE_IN","Sampel dari Principal",,"2026-05-07 03:12:54.867"
"cmoux0q0x000ekz04e5qs3tso","cmmu0cn8x0004zfy0rje4s1oa","cmoux0q0s000ckz049hyg8sta",40,"SAMPLE_IN","Sampel dari Principal",,"2026-05-07 03:17:12.513"
"cmoux57er000hkz04m85swmlx","cmmu0cn8x0004zfy0rje4s1oa","cmoux57eo000fkz04h4cjwbob",40,"SAMPLE_IN","Sampel dari Principal",,"2026-05-07 03:20:41.668"
"cmoux5nv4000kkz0448u5caix","cmmu0cn8x0004zfy0rje4s1oa","cmoux5nv1000ikz04j85cudrn",40,"SAMPLE_IN","Sampel dari Principal",,"2026-05-07 03:21:02.992"
"cmoux7aba000nkz04f21mep4k","cmmu0cn8x0004zfy0rje4s1oa","cmoux7ab5000lkz04d4kqdkmu",40,"SAMPLE_IN","Sampel dari Principal",,"2026-05-07 03:22:18.742"
