"id","userId","districtDesa","districtKec","districtKab","weeds","date","observationResult","latitude","longitude","photos","createdAt","updatedAt","snapshotAreaId"
"cmofnx7ic0001k104pys93pxz","cmn2ut48j0007jy040a1gsnei","MANJUNG","NGAWEN","KLATEN","Rumput pinggir jalan","2025-11-27 00:00:00","249519",-7.6852455,110.5890924,,"2026-04-26 11:05:59.364","2026-04-26 11:05:59.364","cmmu5b6vr0001jp04nn83ngz5"
"cmofnx7iw0005k104ebtu1awe","cmn2ut48j0007jy040a1gsnei","NGAWEN","NGAWEN","KLATEN","Rumput galengan","2025-11-27 00:00:00","794429",-7.6679727,110.5864529,,"2026-04-26 11:05:59.384","2026-04-26 11:05:59.384","cmmu5b6vr0001jp04nn83ngz5"
"cmofnx7j20009k104lzk4tg17","cmn2ut4a70011jy04570oy6hc","KALIBOTO","MOJOGEDANG","KARANGANYAR","Gulma","2025-06-08 00:00:00","774013",-7.5505616,110.9673593,,"2026-04-26 11:05:59.391","2026-04-26 11:05:59.391","cmmu5b6vr0001jp04nn83ngz5"
"cmofnx7j6000bk104ru5b25uq","cmn2ut4a70011jy04570oy6hc","KALIBOTO","MOJOGEDANG","KARANGANYAR","Gulma","2025-06-08 00:00:00","911294",-7.5482466,110.9737671,,"2026-04-26 11:05:59.394","2026-04-26 11:05:59.394","cmmu5b6vr0001jp04nn83ngz5"
"cmofnx7j9000dk104zoscuodu","cmn2ut4a70011jy04570oy6hc","PULOSARI","KEBAKKRAMAT","KARANGANYAR","Gulma","2025-06-04 00:00:00","786500",-7.510017,110.921607,,"2026-04-26 11:05:59.397","2026-04-26 11:05:59.397","cmmu5b6vr0001jp04nn83ngz5"
"cmofnx7jc000fk104e9xqnmyd","cmn2ut4a70011jy04570oy6hc","PULOSARI","KEBAKKRAMAT","KARANGANYAR","Gulma","2025-06-04 00:00:00","358195",-7.510302,110.92124,,"2026-04-26 11:05:59.401","2026-04-26 11:05:59.401","cmmu5b6vr0001jp04nn83ngz5"
"cmofnx7jg000hk104ywqtakty","cmn2ut4a70011jy04570oy6hc","ALASTUWO","KEBAKKRAMAT","KARANGANYAR","Gulma","2025-06-04 00:00:00","759801",-7.54426,110.940353,,"2026-04-26 11:05:59.404","2026-04-26 11:05:59.404","cmmu5b6vr0001jp04nn83ngz5"
"cmofnx7jj000jk104cuhk5kwt","cmn2ut4a70011jy04570oy6hc","BUNTAR","MOJOGEDANG","KARANGANYAR","Gulma","2025-06-04 00:00:00","540339",-7.549221,110.957258,,"2026-04-26 11:05:59.407","2026-04-26 11:05:59.407","cmmu5b6vr0001jp04nn83ngz5"
"cmofnx7jl000lk104ygiuqsva","cmn2ut4a70011jy04570oy6hc","KALIBOTO","MOJOGEDANG","KARANGANYAR","Gulma","2025-06-04 00:00:00","105760",-7.555173,110.96398,,"2026-04-26 11:05:59.41","2026-04-26 11:05:59.41","cmmu5b6vr0001jp04nn83ngz5"
"cmofnx7jo000nk10426dsxcbo","cmmvjyntc0001l704r738ouwy","GIRIREJO","KALIANGKRIK","MAGELANG","Cabai","2025-06-10 00:00:00","79289",-7.4708843,110.126217,,"2026-04-26 11:05:59.412","2026-04-26 11:05:59.412","cmmu5baag0002jp04tu1z121e"
"cmofnx7jr000pk104tfoxtw2t","cmn2ut47z0001jy04jtgmlsti","JEMAWAN","JATINOM","KLATEN","Gulma","2025-06-11 00:00:00","784264",-7.6611831,110.5876483,,"2026-04-26 11:05:59.415","2026-04-26 11:05:59.415","cmmu5b6vr0001jp04nn83ngz5"
"cmofnx7ju000rk104dumn5i6y","cmmvjyntc0001l704r738ouwy","NGENDROKILO","KALIANGKRIK","MAGELANG","Cabai, Tembakau","2025-06-14 00:00:00","198651",-7.462604,110.115043,,"2026-04-26 11:05:59.418","2026-04-26 11:05:59.418","cmmu5baag0002jp04tu1z121e"
"cmofnx7jx000tk1044tzao8lw","cmn2ut4a70011jy04570oy6hc","KALIJIRAK","TASIKMADU","KARANGANYAR","Gulma","2025-06-14 00:00:00","180791",-7.5580127,110.9564364,,"2026-04-26 11:05:59.421","2026-04-26 11:05:59.421","cmmu5b6vr0001jp04nn83ngz5"
"cmofnx7k0000vk10405727npf","cmmvjyntc0001l704r738ouwy","NGENDROKILO","KALIANGKRIK","MAGELANG","Pembibitan","2025-06-14 00:00:00","94332",-7.4624002,110.1152708,,"2026-04-26 11:05:59.424","2026-04-26 11:05:59.424","cmmu5baag0002jp04tu1z121e"
"cmofnx7k3000xk104ayzbta3m","cmn2ut4a70011jy04570oy6hc","KALIJIRAK","TASIKMADU","KARANGANYAR","Gulma","2025-06-14 00:00:00","988717",-7.5609137,110.957978,,"2026-04-26 11:05:59.427","2026-04-26 11:05:59.427","cmmu5b6vr0001jp04nn83ngz5"
