"id","accurateId","name","code","address","latitude","longitude","phone","notes","createdAt","updatedAt"
"cmny5d5aq0001if045i6dqmn0","C.01662","234 Gombong Kebumen","C.01662","Jl. Soponyono, Kedunglo, Kedungpuji, Kec. Gombong, Kabupaten Kebumen, Jawa Tengah 54416",-7.6029802,109.5346539,"087831250830",,"2026-04-14 04:54:25.298","2026-04-27 04:05:31.437"
"cmny5d5at0002if04rb4grc94","C.01730","777 Pertanian - Kota Kefamenanu","C.01730","GFJJ+W98, Kefamenanu Sel., Kec. Kota Kefamenanu, Kabupaten Timor Tengah Utara, Nusa Tenggara Tim.",-9.4676635,124.4809469,"082147455550",,"2026-04-14 04:54:25.302","2026-04-27 04:05:31.442"
"cmny5d5ax0003if04pj2gl4j7","C.02213","786 Tani Kedungreja Cilacap","C.02213","Suren, Tambakreja, Kec. Kedungreja, Kabupaten Cilacap, Jawa Tengah",-7.550154,108.7835308,"082221318119",,"2026-04-14 04:54:25.305","2026-04-27 04:05:31.447"
"cmny5d5b00004if04m0d0tcl0","C.01211","AA Kedu Temanggung","C.01211","P5F3+68W Kedu, Kabupaten Temanggung, Jawa Tengah",-7.27667073,110.153322571,"+62 882-0038-18824",,"2026-04-14 04:54:25.309","2026-04-27 04:05:31.453"
"cmny5d5bw0005if041ier2p5o","C.02066","ABC Garden Kartasura Sukoharjo","C.02066","Jl. Wikarta No.24 RT 02 RW 05, Dusun II, Singopuran, Kartasura, Sukoharjo Regency, Central Java 57164",-7.549711,110.7474712,"089502020425",,"2026-04-14 04:54:25.312","2026-04-27 04:05:31.458"
"cmny5d5c30006if04d4kb6ow0","C.00178","ABS Tani Magelang","C.00178","Dsn, Selak, Pabelan",-7.5893929,110.245422,"082125904894",,"2026-04-14 04:54:25.348","2026-04-27 04:05:31.462"
"cmny5d5c80007if04mobp55w3","C.00775","AZ Farm Banjarnegara","C.00775","QRVG+Q5Q, Batur Kidul, Batur, Kec. Batur",-7.205299063,109.825451342,"082225393891",,"2026-04-14 04:54:25.352","2026-04-27 04:05:31.467"
"cmny5d5cc0008if04sm7pydi8","C.00608","Ababil / Agriaku","C.00608","Kecamatan Bergas, Kalisari, Diwak",-7.196233,110.432903,"Kecamatan Bergas, Kalisari, Diwak",,"2026-04-14 04:54:25.356","2026-04-27 04:05:31.473"
"cmny5d5cf0009if04i1h157am","C.01015","Ababil Tani Brebes","C.01015","Raya Jagalempeni, Jakatamu Wetan, Jagalempeni, Kec. Wanasari",-6.9506445,109.0062897,"+62 813-9030-8358",,"2026-04-14 04:54:25.359","2026-04-27 04:05:31.476"
"cmny5d5cj000aif04tjemfwca","C.02035","Abadi Tani Jatilawang Banyumas","C.02035","Jl. Raya Tinggarjaya, Tunjung Kidul, Tunjung, Kec. Jatilawang, Kabupaten Banyumas, Jawa Tengah 53174",-7.532928,109.107476,"085727447708",,"2026-04-14 04:54:25.363","2026-04-27 04:05:31.48"
