"id","userId","kiosName","activityDetail","visitResult","notes","photos","createdAt","snapshotAreaId"
"cmomwp84e0001l8041hnwzqus","cmnptx8wa0001ih049zvdbkfp","Perdana Muda","Menghitung stok dan memantau lahan pertanian yang sudah didemplot","Beberapa produk seperti Platoon masih banyak tersisa. Produk lain seperti Belki dan Nargis juga masih ada cukup banyak di toko","","[""https://res.cloudinary.com/djfhtirfk/image/upload/c_limit,w_1280,h_1280,q_78,f_auto/v1777639561/gamagronomist/o0zh6oalonxdbbvre8u6.jpg""]","2026-05-01 12:46:06.682","cmmu5bdk90003jp04wwmqip3w"
"cmot9ujt80001l80449trxt30","cmmu0cnp40006zfy02oc00oz1","Sinar Abadi Demak","- Mengantar pembelian Biocron
- Ada petani yang mengeluh Biogent tidak bisa membunuh kaper
- Tertarik untuk membeli Biotomil
- Penyerapam Biogent 1 MT mencapai lebih dari 30 Liter","- Sudah order Biogent lagi dari Bunga Arum","","[""https://res.cloudinary.com/djfhtirfk/image/upload/c_limit,w_1280,h_1280,q_78,f_auto/v1778024444/gamagronomist/bbxcedlu8vfdjuy1hyzb.jpg""]","2026-05-05 23:40:47.177","cmmu5b29t0000jp04i02m5ac6"
"cmotedzix0001ie04jcdzmvad","cmmu0cnp40006zfy02oc00oz1","Jaya Tani Karanganyar (MST KRA 1)","- Produk GAMA yang paling laku Rapid Zone, Zenus, Biogent, Biomax, Fatal","Pronate terjual 1 Liter","","[""https://res.cloudinary.com/djfhtirfk/image/upload/c_limit,w_1280,h_1280,q_78,f_auto/v1778032070/gamagronomist/ntb2jeid1uuh0ommd40f.jpg""]","2026-05-06 01:47:52.473","cmmu5b29t0000jp04i02m5ac6"
"cmoti6xe50001l404jgdq09on","cmmvjyntc0001l704r738ouwy","Wiguno Kuwarasan","Cek produk sinamyang yang sudah ada di kios, pergerakan, dan petani kunci","Sudah ada yang membeli produk Absina dan Bestzine
Harga : 
Bestzine 100 gr 135k, Plenum 140
Absina 200 ml : 45k
Heko 500 ml : 58k","","[""https://res.cloudinary.com/djfhtirfk/image/upload/c_limit,w_1280,h_1280,q_78,f_auto/v1778038353/gamagronomist/krpsmc9i0wtskpqs2pdb.jpg"",""https://res.cloudinary.com/djfhtirfk/image/upload/c_limit,w_1280,h_1280,q_78,f_auto/v1778038356/gamagronomist/i4t85xz9mq7hsg3x90ci.jpg"",""https://res.cloudinary.com/djfhtirfk/image/upload/c_limit,w_1280,h_1280,q_78,f_auto/v1778038358/gamagronomist/u9gzovb5pb98fipx0dzv.jpg""]","2026-05-06 03:34:21.582","cmmu5baag0002jp04tu1z121e"
"cmotl53q10001k404277m1jy1","cmmu0cnp40006zfy02oc00oz1","Sedulur Tani (MST KRA 2)","Penataan etalase supaya secara visual terlihat lebih indah","Allmax terjual 2 botol","","[""https://res.cloudinary.com/djfhtirfk/image/upload/c_limit,w_1280,h_1280,q_78,f_auto/v1778043412/gamagronomist/fxbecv0t1whhytttqjq8.jpg""]","2026-05-06 04:56:55.318","cmmu5b29t0000jp04i02m5ac6"
"cmou13gy50001l5047uiotqbu","cmmvjyntc0001l704r738ouwy","MST Banyumas","Drop sampel dan banner untuk Intern AFA dan FO Cilacap","Joki sudah terjual 4 pcs an allmax 2 pcs emenjak ada petugas","","[""https://res.cloudinary.com/djfhtirfk/image/upload/c_limit,w_1280,h_1280,q_78,f_auto/v1778070204/gamagronomist/annui3x4khvlqcfsi3vy.jpg""]","2026-05-06 12:23:33.001","cmmu5baag0002jp04tu1z121e"
"cmov3rtel0001le04bb5i1628","cmmu0cnp40006zfy02oc00oz1","Sarwo Tani 1","Kunjungan rutin untuk menympaikan update di lapangan","Menawarkan produk Pronate dan pemilik kios bersedia untuk stok, sudah disampaikan ke tim Sales","","[""https://res.cloudinary.com/djfhtirfk/image/upload/c_limit,w_1280,h_1280,q_78,f_auto/v1778135172/gamagronomist/avivjqtit3k10p3eozkd.jpg""]","2026-05-07 06:26:14.301","cmmu5b29t0000jp04i02m5ac6"
"cmowib5ww0001ld04ofgfgk9q","cmmu0cnp40006zfy02oc00oz1","Sumber Tani Agung","Melaporkan kegiatan di lapangan","Joki 500ml terjual 4 botol
Biogent 100ml terjual 1 botol","","[""https://res.cloudinary.com/djfhtirfk/image/upload/c_limit,w_1280,h_1280,q_78,f_auto/v1778220055/gamagronomist/ibtsvkobnpteixhgcxkg.jpg""]","2026-05-08 06:00:57.773","cmmu5b29t0000jp04i02m5ac6"
"cmoxlw0cl0001jp040uqtli89","cmnptxdfx0003ih04aeoz98ii","Kios Madani","• Pengenalan produk pengembangan GAMA
• Komunikasi terkait stock 
• Progress demoplot yang telah dilakukan dan akan dilakukan","1. Visit kios bersama Pak Seto
2. ⁠Di Kios Madani sudah ada produk yang berjalan seperti Starban, Mertier, dan akan dilakukan fokus produk Biogent, Belko, Biomax, Ziflo, dan Allmax. 
3. ⁠Cakupan wilayah Kios Madani cukup luas sehingga memudahkan untuk melakukan demplot dan customer behavior. 
4. ⁠Di daerah tersebut jarang ditemukan petugas lapangan dari principal lain. 
5. ⁠Jenis komoditas di daerah Toko Madani adalah Padi dan Jagung Hibrida","","[""https://res.cloudinary.com/djfhtirfk/image/upload/c_limit,w_1280,h_1280,q_78,f_auto/v1778286531/gamagronomist/m2jotdd2p6mezb0dzsje.jpg""]","2026-05-09 00:28:55.365","cmmu5bdk90003jp04wwmqip3w"
"cmoxlzznf0001lb04guossf7n","cmnptxdfx0003ih04aeoz98ii","Enggal Jaya","• Pengenalan produk pengembangan GAMA 
• Pengenalan petugas lapang untuk area kios Enggal Jaya
• Komunikasi terkait keberlanjutan kerjasama","• Kios Enggal Jaya merupakan kios R2 dari CV Bunga Arum 
• ⁠Produk biotis yang sudah ada yaitu Starban, Tandem, Fatal, dan Ziflo. 
• ⁠Kios Enggal Jaya mau diajak bekerjasama 
• ⁠Kios Enggal Jaya menyediakan bibit buah dan sayur juga sehingga banyak petani yang memilih Kios Enggal Jaya untuk membeli saprotan
• ⁠Selain masyarakat daerah Boja, masyarakat luar daerah seperti Semarang juga mengambil barang dari Enggal Jaya","","[""https://res.cloudinary.com/djfhtirfk/image/upload/c_limit,w_1280,h_1280,q_78,f_auto/v1778286717/gamagronomist/i5mrfxkqertaosov6o03.jpg""]","2026-05-09 00:32:01.083","cmmu5bdk90003jp04wwmqip3w"
